icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,z_score_max,zscore_anomaly,turning_anomaly
a3ac7a,3947.16,4853.94,4231.598360655737,216.73,225.78,219.55188524590167,0.075099999999999,0.3234999999999957,3592.0,1.185299981366194,False,False
a3aca6,1676.4,2316.48,1922.0688,95.98,98.88,97.38280000000005,0.0407999999999972,0.0418000000000091,2867.0,2.4283917936582124,False,True
a3ad47,11285.22,11292.84,11290.169072164945,229.81,231.04,230.3712371134021,0.0478999999999985,0.0600999999999913,2553.0,0.9058470065233347,False,False
a3ad5a,8229.6,8846.82,8690.609999999999,236.21,237.32,236.88909090909087,7.772199999999998,13.144199999999998,618.0,3.459646651273775,True,True
a3ad6d,6088.38,6096.0,6093.2290909090925,189.66,214.66,207.87363636363636,0.0786999999999977,0.0287000000000006,2884.0,0.708233831967114,False,True
a3ada3,53.34,53.34,53.34,76.0,76.0,76.0,0.0,0.0,17.0,2.9076534760975696,False,False
a3adce,571.5,571.5,571.5,85.99,85.99,85.99,0.0,0.0,17.0,2.698395425067449,False,False
a3ade9,10363.2,10370.82,10370.15739130435,222.09,222.26,222.1560869565218,0.0198999999999998,0.152000000000001,2867.0,0.6575114101997741,False,True
a3b028,10050.78,10066.02,10058.624117647058,238.75,239.89,238.9626470588235,0.2165999999999996,0.1000000000000085,3592.0,1.185299981366194,False,False
a3b05d,11277.6,11277.6,11277.6,242.73,242.82,242.7362068965517,0.0294000000000025,0.2248000000000019,3254.0,0.9210274989495875,False,False
a3b0fe,9144.0,9144.0,9144.0,221.32,221.32,221.32,0.0,0.0,17.0,1.6098897365017601,False,False
a3b110,4899.66,5402.58,5155.874358974361,214.54,218.46,216.8488888888889,0.0685000000000002,0.0381,3009.0,0.9093364856855437,False,False
a3b111,3901.44,4404.36,4259.2625,169.21,174.75,172.32666666666668,0.0645000000000024,0.0365000000000037,2762.0,1.1988359102692172,False,True
a3b11e,9281.16,11277.6,9744.296511627912,203.93,231.34,218.42453488372104,2.465299999999999,6.378799999999998,3592.0,1.2860868253447435,False,False
a3b268,11887.2,11887.2,11887.2,246.42,247.48,246.98092436974795,0.1929000000000016,0.0157999999999987,3592.0,1.185299981366194,False,False
