icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration
3c56f6,1066.8,1089.66,1073.9119999999998,91.36,102.27,93.53866666666663,0.020599999999994623,0.03159999999999741,374.0
3c5ee5,10195.56,10355.58,10282.645714285716,217.21,220.28,219.22879120879116,0.06909999999999883,0.0031999999999996476,2413.0
3c5ee6,11879.58,11894.82,11893.600799999998,225.97,226.64,226.07199999999997,0.11169999999999902,0.0647000000000002,2867.0
3c5ee8,6294.12,6659.88,6472.843636363637,178.95,180.8,179.59409090909094,0.04459999999999553,0.09389999999999965,2884.0
3c5eed,3604.26,3604.26,3604.26,204.25,204.25,204.25,0.0,0.0,17.0
3c5eef,11574.78,11582.4,11580.2664,233.49,235.2,234.8216,0.13170000000000215,0.0052000000000003155,2867.0
3c5ef6,11574.78,11582.4,11577.320000000003,233.98,233.98,233.97999999999996,0.00829999999999842,0.006199999999999761,1261.0
3c6427,10355.58,10363.2,10361.814545454548,235.58,246.99,239.4845454545454,6.205500000000001,4.894999999999998,2884.0
3c644a,9745.98,10096.5,9889.720909090907,215.22,218.28,217.26681818181822,0.0033999999999991815,0.1372,2884.0
3c6450,11277.6,11285.22,11278.616000000004,245.54,246.45,246.19333333333324,0.043900000000000716,0.13039999999999807,374.0
3c6481,10675.62,10675.62,10675.62,228.6,228.6,228.6,0.0,0.0,17.0
3c6483,670.56,10683.24,9083.04,101.39,249.8,226.44920000000002,2.900599999999997,6.2721,2867.0
3c648c,10370.82,10370.82,10370.82,245.61,247.87,246.33359999999996,0.015200000000000102,0.2107000000000001,2867.0
3c6494,10668.0,10675.62,10671.048,222.91,225.97,223.95,0.11779999999999546,0.005799999999999805,2867.0
3c6496,9959.34,10363.2,10093.729090909092,228.64,276.62,233.18181818181813,8.438200000000002,2.6258999999999997,2884.0
3c64a2,10668.0,10668.0,10668.0,227.42,227.42,227.42,0.0,0.0,17.0
3c64c4,640.08,640.08,640.08,88.61,88.61,88.61,0.0,0.0,282.0
3c64c5,11582.4,11582.4,11582.4,227.13,228.57,227.59758620689666,0.032099999999999795,0.06359999999999388,2134.0
3c64c6,5707.38,6187.44,6009.7416,223.87,229.48,227.90519999999998,0.10430000000000206,0.09419999999999895,2867.0
3c64ec,10058.4,10058.4,10058.399999999998,216.28,216.69,216.55333333333334,0.002600000000001046,0.0024999999999995026,368.0
3c64ee,11582.4,11582.4,11582.399999999994,218.75,222.79,221.02608695652168,5.800599999999996,2.4813000000000045,3592.0
3c64f7,5783.58,6370.32,5921.241315789474,223.27,227.47,224.98881578947362,0.06989999999999696,0.2015999999999991,2747.0
3c64fa,4015.74,4312.92,4233.9768,178.3,194.68,186.5916,0.07799999999999585,0.09079999999999977,2867.0
3c6506,10058.4,10058.4,10058.400000000001,265.96,266.1,265.979649122807,0.00829999999999842,0.017600000000001614,2018.0
3c651a,800.1,11277.6,7916.892452830186,143.25,258.59,221.4498113207547,3.793299999999995,6.369900000000001,2782.0
3c6562,2225.04,2247.9,2226.6728571428575,142.29,142.29,142.29,0.003900000000001569,0.0037999999999982492,268.0
3c656b,11582.4,11582.4,11582.4,241.76,243.37,243.269375,0.01729999999999876,0.13590000000000124,2884.0
3c6572,10309.86,10622.28,10381.488000000003,265.5,270.24,268.9513333333334,0.11120000000000374,0.11570000000000391,1182.0
3c6582,617.22,624.84,617.5663636363635,64.52,68.76,65.6827272727273,0.016100000000001558,0.006000000000000227,618.0
3c6584,556.26,10058.4,2418.080000000001,74.89,253.14,96.41714285714288,2.5919999999999987,8.511,2706.0
