icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,PCA1,PCA2,kmeans_cluster
020177,9448.8,11887.2,9838.112727272724,245.24,248.09,246.71090909090907,11.616100000000005,4.0761,2884.0,-1.8620693868433018,4.08044628681181,0
02019b,266.7,662.94,472.44,74.27,82.12,76.65761363636362,0.0733999999999994,0.0251000000000001,3592.0,5.866050547381989,0.36299888813668346,1
02019d,10881.36,10972.8,10948.963076923075,210.75,212.29,211.2283760683761,0.0177000000000049,0.2578999999999993,3592.0,-1.0016520627105847,-0.029345912078397294,2
02a181,9387.84,9387.84,9387.839999999998,240.44,240.44,240.44000000000003,0.0,0.0,268.0,-1.03670727535374,-1.0392518240770803,2
02a1a5,11285.22,11292.84,11285.52787878788,231.52,232.48,232.1771717171717,0.0669000000000039,0.0537999999999998,3151.0,-1.6069301334832975,-0.21399660911878798,2
02a1a6,10614.66,10972.8,10787.461935483876,202.05,214.14,208.3717741935484,6.3859,2.7139000000000024,3254.0,-0.9848252052736763,2.3182936394633415,0
02a1b1,4244.34,4907.28,4659.4776,188.72,192.95,191.41599999999997,14.2455,7.3457,2867.0,1.4241350232093268,5.562100262704685,0
040030,1379.22,1379.22,1379.22,96.21,96.21,96.21,0.0,0.0,233.0,5.243726092215931,-0.6811885743236481,1
040046,1470.66,1623.06,1554.2601923076925,133.24,139.94,136.65509615384616,0.0525999999999982,0.0007999999999981,3342.0,4.067619668658695,0.15756840689357385,1
040047,11879.58,11887.2,11887.032527472524,260.14,262.64,261.34703296703293,0.1196000000000054,0.3093000000000003,3218.0,-2.5346147182551246,-0.1926673610373323,2
