icao24,min_altitude,max_altitude,mean_altitude,min_velocity,max_velocity,mean_velocity,latitude_range,longitude_range,duration,iforest_anomaly,iforest_score
aa56b5,10972.8,10972.8,10972.8,223.44,223.44,223.44,0.0001999999999995,0.0026999999999901,1156.0,0,-0.1187929488288969
aa56b6,10972.8,10972.8,10972.800000000005,216.71,217.42,217.07695652173908,0.0178999999999973,0.1178000000000025,3206.0,0,-0.11665923056781907
aa56d8,10972.8,10972.8,10972.800000000005,217.96,219.26,218.30105882352927,0.0061999999999997,0.140199999999993,2920.0,0,-0.11978836502338741
aa56db,10972.8,11582.4,11386.867924528304,218.12,222.27,219.7681132075472,1.2434000000000012,1.9546999999999883,2747.0,0,-0.07064688824322835
aa589c,10370.82,10370.82,10370.819999999994,232.95,232.95,232.95000000000007,0.014800000000001,0.0745000000000004,1611.0,0,-0.12170160980933248
aa596c,7589.52,7879.08,7765.9992,208.85,214.58,212.6824,0.0112000000000023,0.1345999999999918,2867.0,0,-0.09397165770773286
aa5bc5,9448.8,9448.8,9448.8,264.59,264.59,264.59,0.0,0.0,227.0,0,-0.06605608383622741
aa5f41,11277.6,11277.6,11277.6,262.38,263.61,262.8865648854962,0.1370000000000004,0.2416000000000053,3592.0,0,-0.069011175702759
aa617c,7856.22,8016.24,7937.442272727273,237.26,241.82,239.72795454545457,0.0343000000000017,0.0708999999999946,3289.0,0,-0.0873935872748966
aa6533,6096.0,6225.54,6168.233424657535,218.81,219.54,219.1882191780822,0.0239999999999938,0.0285000000000081,3079.0,0,-0.07016996713857182
aa6b43,1325.88,1524.0,1437.7554545454543,136.35,139.1,138.86136363636362,0.0683000000000007,0.0311999999999983,2884.0,0,-0.017378872010513968
aa6b9d,99.06,944.88,286.20203389830505,93.35,126.27,94.99813559322035,0.040300000000002,0.0936999999999983,3184.0,0,0.048835545342523656
aa6b9f,10972.8,10972.8,10972.8,241.28,241.28,241.28,0.0,0.0,109.0,0,-0.1179394971063743
aa6ba6,11582.4,12192.0,12094.464,242.73,242.9,242.7436,7.510000000000002,15.122500000000002,2867.0,0,0.08049400784351923
aa6bed,8237.22,8770.62,8541.327272727272,204.37,212.63,208.62590909090912,0.0061000000000035,0.1021999999999963,2884.0,0,-0.09790732374334299
aa6ccb,10668.0,10668.0,10668.0,263.21,264.0,263.62806722689083,0.2262000000000057,0.2430999999999983,3592.0,0,-0.07593188592029826
aa6ed1,4724.4,5379.72,5174.399999999999,181.53,186.23,185.3962204724409,0.1392999999999986,0.2042999999999892,3592.0,0,-0.024774638642336755
aa6f80,723.9,861.06,776.4137349397591,80.4,85.7,82.12674698795179,0.0028000000000005,0.0340999999999951,2326.0,0,0.03793709748005614
aa7198,6210.3,10363.2,6988.96875,205.22,221.42,208.2575,0.3684999999999974,12.7851,2867.0,0,0.01736703539030604
aa720f,9151.62,9151.62,9151.62,230.85,230.85,230.85,0.0,0.0,91.0,0,-0.10298210006577274
aa7288,3848.1,11582.4,9921.688235294116,180.88,240.95,229.44117647058823,4.115400000000001,6.568300000000008,2884.0,0,0.017162142152991944
aa72d3,7048.5,8641.08,8307.832,222.53,237.07,233.28666666666675,0.179000000000002,0.1551999999999935,1217.0,0,-0.0851047081016909
aa72f5,8884.92,8907.78,8896.35,249.08,249.08,249.08,0.0015,0.0096999999999951,318.0,0,-0.08201136674874643
aa7315,7894.32,8031.48,7989.316000000001,217.11,219.68,218.945,0.0266000000000019,0.000399999999999,1254.0,0,-0.08330505266132182
aa737d,10668.0,10668.0,10668.0,224.43,224.43,224.43000000000004,0.0,0.0,109.0,0,-0.11637704044771507
